time,phase,average_waiting_time,maximum_waiting_time,average_queue_length,maximum_queue_length,throughput,average_travel_time,number_of_stops,number_of_switches,safety_violations,illegal_switch_attempts,vehicles_exceeding_max_wait,cumulative_reward,controller,seed,experiment,scenario,inference_time_seconds
300,EAST_GREEN,0.18487394957983194,3,0.07333333333333333,2,119,1.184873949579832,22,0,0,87,0,215.5,SARSA,10,traffic_scenario,unseen,0.012947700000950135
300,SOUTH_GREEN,0.2982456140350877,3,0.11333333333333333,3,114,1.2982456140350878,34,0,0,0,0,192.9,Fixed Time,20,traffic_scenario,unseen,
300,SOUTH_GREEN,0.2982456140350877,3,0.11333333333333333,3,114,1.2982456140350878,34,0,0,181,0,192.9,Q-Learning,20,traffic_scenario,unseen,0.014978100000007544
300,SOUTH_GREEN,0.2982456140350877,3,0.11333333333333333,3,114,1.2982456140350878,34,0,0,65,0,192.9,SARSA,20,traffic_scenario,unseen,0.013410299994575325
300,SOUTH_GREEN,0.2222222222222222,3,0.09333333333333334,2,126,1.2222222222222223,28,0,0,0,0,223.4,Fixed Time,30,maximum_green,20,
300,SOUTH_GREEN,0.2222222222222222,3,0.09333333333333334,2,126,1.2222222222222223,28,0,0,194,0,223.4,Q-Learning,30,maximum_green,20,0.015602899999066722
300,SOUTH_GREEN,0.2222222222222222,3,0.09333333333333334,2,126,1.2222222222222223,28,0,0,63,0,223.4,SARSA,30,maximum_green,20,0.014472599999862723
300,SOUTH_GREEN,0.2222222222222222,3,0.09333333333333334,2,126,1.2222222222222223,28,0,0,0,0,223.4,Fixed Time,30,maximum_green,30,
300,SOUTH_GREEN,0.2222222222222222,3,0.09333333333333334,2,126,1.2222222222222223,28,0,0,194,0,223.4,Q-Learning,30,maximum_green,30,0.018534299997554626
300,SOUTH_GREEN,0.2222222222222222,3,0.09333333333333334,2,126,1.2222222222222223,28,0,0,63,0,223.4,SARSA,30,maximum_green,30,0.014428900001803413
300,SOUTH_GREEN,0.2222222222222222,3,0.09333333333333334,2,126,1.2222222222222223,28,0,0,0,0,223.4,Fixed Time,30,maximum_green,40,
300,SOUTH_GREEN,0.2222222222222222,3,0.09333333333333334,2,126,1.2222222222222223,28,0,0,194,0,223.4,Q-Learning,30,maximum_green,40,0.013612599999760278
300,SOUTH_GREEN,0.2222222222222222,3,0.09333333333333334,2,126,1.2222222222222223,28,0,0,63,0,223.4,SARSA,30,maximum_green,40,0.0128234000003431
300,SOUTH_GREEN,0.2222222222222222,3,0.09333333333333334,2,126,1.2222222222222223,28,0,0,0,0,223.4,Fixed Time,30,maximum_green,60,
300,SOUTH_GREEN,0.2222222222222222,3,0.09333333333333334,2,126,1.2222222222222223,28,0,0,194,0,223.4,Q-Learning,30,maximum_green,60,0.014912099999492057
300,SOUTH_GREEN,0.2222222222222222,3,0.09333333333333334,2,126,1.2222222222222223,28,0,0,63,0,223.4,SARSA,30,maximum_green,60,0.014264999997976702
300,NORTH_GREEN,0.288,2,0.12333333333333334,2,125,1.288,37,0,0,0,0,212.4,Fixed Time,40,maximum_wait,60,
300,NORTH_GREEN,0.288,2,0.12333333333333334,2,125,1.288,37,0,0,193,0,212.4,Q-Learning,40,maximum_wait,60,0.013220499997260049
300,NORTH_GREEN,0.288,2,0.12333333333333334,2,125,1.288,37,0,0,87,0,212.4,SARSA,40,maximum_wait,60,0.013504599999578204
300,NORTH_GREEN,0.288,2,0.12333333333333334,2,125,1.288,37,0,0,0,0,212.4,Fixed Time,40,maximum_wait,90,
300,NORTH_GREEN,0.288,2,0.12333333333333334,2,125,1.288,37,0,0,193,0,212.4,Q-Learning,40,maximum_wait,90,0.01341340000362834
300,NORTH_GREEN,0.288,2,0.12333333333333334,2,125,1.288,37,0,0,87,0,212.4,SARSA,40,maximum_wait,90,0.01363380000111647
300,NORTH_GREEN,0.288,2,0.12333333333333334,2,125,1.288,37,0,0,0,0,212.4,Fixed Time,40,maximum_wait,120,
300,NORTH_GREEN,0.288,2,0.12333333333333334,2,125,1.288,37,0,0,193,0,212.4,Q-Learning,40,maximum_wait,120,0.013648799998918548
300,NORTH_GREEN,0.288,2,0.12333333333333334,2,125,1.288,37,0,0,87,0,212.4,SARSA,40,maximum_wait,120,0.014816099996096455
